beta,L_We50_Cpn0.5,L_We25_Cpn0,L0_minus_L_We50,L0_minus_L_We25,ratio_over_sqrt_beta_We50,ratio_over_sqrt_beta_We25
1.00000000e-04,17.2603386330,8.2972501217,4.3856370053e-02,2.6646457167e-02,4.38563701,2.66464572
1.04761575e-04,17.2593046753,8.2966221032,4.4890327729e-02,2.7274475683e-02,4.38582972,2.66474343
1.09749877e-04,17.2582462933,8.2959792590,4.5948709718e-02,2.7917319911e-02,4.38602699,2.66484346
1.14975700e-04,17.2571629078,8.2953212379,4.7032095259e-02,2.8575341001e-02,4.38622894,2.66494587
1.20450354e-04,17.2560539256,8.2946476804,4.8141077437e-02,2.9248898481e-02,4.38643568,2.66505070
1.26185688e-04,17.2549187395,8.2939582185,4.9276263521e-02,2.9938360448e-02,4.38664731,2.66515801
1.32194115e-04,17.2537567278,8.2932524751,5.0438275305e-02,3.0644103788e-02,4.38686396,2.66526787
1.38488637e-04,17.2525672536,8.2925300645,5.1627749465e-02,3.1366514376e-02,4.38708575,2.66538034
1.45082878e-04,17.2513496651,8.2917905916,5.2845337919e-02,3.2105987303e-02,4.38731279,2.66549547
1.51991108e-04,17.2501032949,8.2910336518,5.4091708201e-02,3.2862927096e-02,4.38754522,2.66561334
1.59228279e-04,17.2488274592,8.2902588310,5.5367543838e-02,3.3637747946e-02,4.38778316,2.66573400
1.66810054e-04,17.2475214583,8.2894657050,5.6673544743e-02,3.4430873942e-02,4.38802675,2.66585753
1.74752840e-04,17.2461845755,8.2886538396,5.8010427612e-02,3.5242739315e-02,4.38827611,2.66598399
1.83073828e-04,17.2448160767,8.2878227902,5.9378926339e-02,3.6073788679e-02,4.38853139,2.66611345
1.91791026e-04,17.2434152106,8.2869721016,6.0779792432e-02,3.6924477288e-02,4.38879273,2.66624599
2.00923300e-04,17.2419812076,8.2861013076,6.2213795447e-02,3.7795271293e-02,4.38906028,2.66638167
2.10490414e-04,17.2405132796,8.2852099309,6.3681723428e-02,3.8686648007e-02,4.38933418,2.66652058
2.20513074e-04,17.2390106197,8.2842974827,6.5184383364e-02,3.9599096177e-02,4.38961458,2.66666280
2.31012970e-04,17.2374724014,8.2833634626,6.6722601649e-02,4.0533116266e-02,4.38990165,2.66680839
2.42012826e-04,17.2358977785,8.2824073582,6.8297224563e-02,4.1489220732e-02,4.39019553,2.66695744
2.53536449e-04,17.2342858843,8.2814286446,6.9909118762e-02,4.2467934330e-02,4.39049640,2.66711005
2.65608778e-04,17.2326358313,8.2804267845,7.1559171775e-02,4.3469794405e-02,4.39080443,2.66726628
2.78255940e-04,17.2309467105,8.2794012277,7.3248292522e-02,4.4495351204e-02,4.39111977,2.66742623
2.91505306e-04,17.2292175912,8.2783514107,7.4977411841e-02,4.5545168193e-02,4.39144262,2.66758998
3.05385551e-04,17.2274475200,8.2772767565,7.6747483030e-02,4.6619822377e-02,4.39177315,2.66775764
3.19926714e-04,17.2256355207,8.2761766743,7.8559482402e-02,4.7719904635e-02,4.39211154,2.66792929
3.35160265e-04,17.2237805932,8.2750505588,8.0414409853e-02,4.8846020064e-02,4.39245799,2.66810503
3.51119173e-04,17.2218817136,8.2738977906,8.2313289451e-02,4.9998788321e-02,4.39281269,2.66828495
3.67837977e-04,17.2199378330,8.2727177349,8.4257170032e-02,5.1178843988e-02,4.39317583,2.66846917
3.85352859e-04,17.2179478772,8.2715097420,8.6247125817e-02,5.2386836938e-02,4.39354762,2.66865778
4.03701726e-04,17.2159107460,8.2702731462,8.8284257045e-02,5.3623432711e-02,4.39392828,2.66885088
4.22924287e-04,17.2138253124,8.2690072660,9.0369690616e-02,5.4889312902e-02,4.39431800,2.66904860
4.43062146e-04,17.2116904223,8.2677114034,9.2504580763e-02,5.6185175558e-02,4.39471702,2.66925103
4.64158883e-04,17.2095048933,8.2663848433,9.4690109730e-02,5.7511735584e-02,4.39512556,2.66945830
4.86260158e-04,17.2072675146,8.2650268537,9.6927488475e-02,5.8869725164e-02,4.39554384,2.66967051
5.09413801e-04,17.2049770457,8.2636366847,9.9217957386e-02,6.0259894186e-02,4.39597211,2.66988780
5.33669923e-04,17.2026322160,8.2622135682,1.0156278702e-01,6.1683010685e-02,4.39641060,2.67011028
5.59081018e-04,17.2002317242,8.2607567176,1.0396327888e-01,6.3139861292e-02,4.39685956,2.67033808
5.85702082e-04,17.1977742369,8.2592653272,1.0642076614e-01,6.4631251699e-02,4.39731925,2.67057133
6.13590727e-04,17.1952583886,8.2577385718,1.0893661451e-01,6.6158007132e-02,4.39778993,2.67081017
6.42807312e-04,17.1926827800,8.2561756061,1.1151222302e-01,6.7720972844e-02,4.39827186,2.67105471
6.73415066e-04,17.1900459782,8.2545755643,1.1414902486e-01,6.9321014610e-02,4.39876531,2.67130512
7.05480231e-04,17.1873465148,8.2529375597,1.1684848826e-01,7.0959019244e-02,4.39927057,2.67156152
7.39072203e-04,17.1845828857,8.2512606838,1.1961211736e-01,7.2635895128e-02,4.39978793,2.67182407
7.74263683e-04,17.1817535499,8.2495440062,1.2244145316e-01,7.4352572749e-02,4.40031767,2.67209292
8.11130831e-04,17.1788569287,8.2477865736,1.2533807439e-01,7.6110005263e-02,4.40086011,2.67236821
8.49753436e-04,17.1758914045,8.2459874099,1.2830359856e-01,7.7909169057e-02,4.40141554,2.67265012
8.90215085e-04,17.1728553202,8.2441455146,1.3133968288e-01,7.9751064343e-02,4.40198429,2.67293879
9.32603347e-04,17.1697469778,8.2422598632,1.3444802529e-01,8.1636715757e-02,4.40256669,2.67323439
9.77009957e-04,17.1665646375,8.2403294059,1.3763036554e-01,8.3567172977e-02,4.40316306,2.67353710
1.02353102e-03,17.1633065168,8.2383530675,1.4088848622e-01,8.5543511360e-02,4.40377374,2.67384709
1.07226722e-03,17.1599707892,8.2363297463,1.4422421388e-01,8.7566832594e-02,4.40439910,2.67416454
1.12332403e-03,17.1565555829,8.2342583135,1.4763942019e-01,8.9638265366e-02,4.40503949,2.67448963
1.17681195e-03,17.1530589800,8.2321376129,1.5113602304e-01,9.1758966056e-02,4.40569527,2.67482255
1.23284674e-03,17.1494790153,8.2299664595,1.5471598780e-01,9.3930119439e-02,4.40636683,2.67516349
1.29154967e-03,17.1458136745,8.2277436395,1.5838132855e-01,9.6152939414e-02,4.40705455,2.67551266
1.35304777e-03,17.1420608938,8.2254679092,1.6213410928e-01,9.8428669753e-02,4.40775883,2.67587024
1.41747416e-03,17.1382185578,8.2231379940,1.6597644529e-01,1.0075858487e-01,4.40848009,2.67623646
1.48496826e-03,17.1342844986,8.2207525883,1.6991050443e-01,1.0314399059e-01,4.40921873,2.67661153
1.55567614e-03,17.1302564945,8.2183103539,1.7393850856e-01,1.0558622501e-01,4.40997519,2.67699566
1.62975083e-03,17.1261322681,8.2158099196,1.7806273492e-01,1.0808665928e-01,4.41074991,2.67738908
1.70735265e-03,17.1219094855,8.2132498804,1.8228551761e-01,1.1064669847e-01,4.41154333,2.67779202
1.78864953e-03,17.1175857540,8.2106287964,1.8660924907e-01,1.1326778248e-01,4.41235594,2.67820472
1.87381742e-03,17.1131586214,8.2079451920,1.9103638164e-01,1.1595138693e-01,4.41318819,2.67862743
1.96304065e-03,17.1086255739,8.2051975548,1.9556942916e-01,1.1869902408e-01,4.41404058,2.67906038
2.05651231e-03,17.1039840345,8.2023843351,2.0021096856e-01,1.2151224382e-01,4.41491361,2.67950384
2.15443469e-03,17.0992313615,8.1995039443,2.0496364160e-01,1.2439263461e-01,4.41580780,2.67995807
2.25701972e-03,17.0943648465,8.1965547544,2.0983015655e-01,1.2734182454e-01,4.41672366,2.68042334
2.36448941e-03,17.0893817130,8.1935350966,2.1481329004e-01,1.3036148236e-01,4.41766175,2.68089993
2.47707636e-03,17.0842791142,8.1904432604,2.1991588882e-01,1.3345331853e-01,4.41862262,2.68138812
2.59502421e-03,17.0790541314,8.1872774925,2.2514087171e-01,1.3661908638e-01,4.41960683,2.68188820
2.71858824e-03,17.0737037715,8.1840359957,2.3049123153e-01,1.3986058319e-01,4.42061498,2.68240048
2.84803587e-03,17.0682249659,8.1807169275,2.3597003712e-01,1.4317965140e-01,4.42164767,2.68292525
2.98364724e-03,17.0626145677,8.1773183991,2.4158043538e-01,1.4657817981e-01,4.42270551,2.68346285
3.12571585e-03,17.0568693496,8.1738384741,2.4732565344e-01,1.5005810480e-01,4.42378914,2.68401358
3.27454916e-03,17.0509860022,8.1702751673,2.5320900085e-01,1.5362141164e-01,4.42489920,2.68457780
3.43046929e-03,17.0449611312,8.1666264431,2.5923387183e-01,1.5727013581e-01,4.42603637,2.68515583
