St,gain_L,gain_L_normalised,gain_Cpn,gain_Cpn_normalised
0.005000,0.56239,1.004,0.58317,1.002
0.010127,0.56870,1.015,0.58640,1.007
0.015253,0.57928,1.034,0.59184,1.017
0.020380,0.59415,1.060,0.59950,1.030
0.025506,0.61330,1.094,0.60939,1.047
0.030633,0.63677,1.136,0.62150,1.068
0.035759,0.66459,1.186,0.63583,1.092
0.040886,0.69684,1.244,0.65231,1.121
0.046013,0.73351,1.309,0.67085,1.153
0.051139,0.77459,1.382,0.69127,1.188
0.056266,0.82012,1.464,0.71323,1.225
0.061392,0.86985,1.552,0.73626,1.265
0.066519,0.92331,1.648,0.75963,1.305
0.071646,0.97993,1.749,0.78245,1.344
0.076772,1.03854,1.853,0.80334,1.380
0.081899,1.09776,1.959,0.82077,1.410
0.087025,1.15565,2.062,0.83299,1.431
0.092152,1.21045,2.160,0.83852,1.441
0.097278,1.25961,2.248,0.83596,1.436
0.102405,1.30123,2.322,0.82476,1.417
0.107532,1.33568,2.384,0.80509,1.383
0.112658,1.36235,2.431,0.77794,1.336
0.117785,1.38285,2.468,0.74487,1.280
0.122911,1.39881,2.496,0.70771,1.216
0.128038,1.41189,2.520,0.66828,1.148
0.133165,1.42363,2.541,0.62818,1.079
0.138291,1.43546,2.562,0.58875,1.011
0.143418,1.44826,2.585,0.55061,0.946
0.148544,1.46318,2.611,0.51464,0.884
0.153671,1.48080,2.643,0.48109,0.826
0.158797,1.50149,2.680,0.45011,0.773
0.163924,1.52528,2.722,0.42178,0.725
0.169051,1.55194,2.770,0.39607,0.680
0.174177,1.58097,2.821,0.37292,0.641
0.179304,1.61179,2.876,0.35225,0.605
0.184430,1.64393,2.934,0.33397,0.574
0.189557,1.67722,2.993,0.31794,0.546
0.194684,1.71179,3.055,0.30400,0.522
0.199810,1.74774,3.119,0.29194,0.502
0.204937,1.78268,3.181,0.28140,0.483
0.210063,1.81785,3.244,0.27236,0.468
0.215190,1.85478,3.310,0.26456,0.455
0.220316,1.88600,3.366,0.25759,0.443
0.225443,1.91752,3.422,0.25134,0.432
0.230570,1.94763,3.476,0.24561,0.422
0.235696,1.97955,3.533,0.24020,0.413
0.240823,2.00685,3.581,0.23492,0.404
0.245949,2.03507,3.632,0.22963,0.395
0.251076,2.06159,3.679,0.22426,0.385
0.256203,2.08622,3.723,0.21877,0.376
0.261329,2.10932,3.764,0.21315,0.366
0.266456,2.13169,3.804,0.20745,0.356
0.271582,2.15425,3.844,0.20169,0.346
0.276709,2.17771,3.886,0.19592,0.337
0.281835,2.20222,3.930,0.19015,0.327
0.286962,2.22726,3.975,0.18444,0.317
0.292089,2.25178,4.018,0.17882,0.307
0.297215,2.27464,4.059,0.17336,0.298
0.302342,2.29290,4.092,0.16816,0.289
0.307468,2.31466,4.131,0.16323,0.280
0.312595,2.33634,4.169,0.15867,0.273
0.317722,2.36251,4.216,0.15444,0.265
0.322848,2.38520,4.257,0.15049,0.259
0.327975,2.40262,4.288,0.14679,0.252
0.333101,2.41703,4.313,0.14334,0.246
0.338228,2.43074,4.338,0.14017,0.241
0.343354,2.45028,4.373,0.13730,0.236
0.348481,2.46125,4.392,0.13452,0.231
0.353608,2.47807,4.422,0.13195,0.227
0.358734,2.49598,4.454,0.12946,0.222
0.363861,2.50942,4.478,0.12699,0.218
0.368987,2.52201,4.501,0.12450,0.214
0.374114,2.53216,4.519,0.12198,0.210
0.379241,2.54016,4.533,0.11943,0.205
0.384367,2.54838,4.548,0.11686,0.201
0.389494,2.56544,4.578,0.11433,0.196
0.394620,2.56889,4.584,0.11167,0.192
0.399747,2.57822,4.601,0.10901,0.187
0.404873,2.59196,4.626,0.10638,0.183
0.410000,nan,nan,0.00000,0.000
