A,St_g,t_star,min_S1,n_clamped
0.300,0.250,no event; min S(1)=1.0414 to t=40.0,1.0414,0
0.350,0.250,no event; min S(1)=0.9320 to t=40.0,0.9320,0
0.400,0.250,no event; min S(1)=0.8236 to t=40.0,0.8236,0
0.450,0.250,no event; min S(1)=0.7165 to t=40.0,0.7165,0
0.500,0.250,no event; min S(1)=0.6116 to t=40.0,0.6116,0
0.550,0.250,no event; min S(1)=0.4818 to t=40.0,0.4818,0
0.600,0.250,no event; min S(1)=0.3596 to t=40.0,0.3596,0
0.650,0.250,no event; min S(1)=0.2176 to t=40.0,0.2176,0
0.700,0.250,no event; min S(1)=0.0713 to t=40.0,0.0713,0
0.750,0.250,12.776636,0.0001,0
0.800,0.250,12.802950,0.0001,0
0.300,0.375,no event; min S(1)=0.7774 to t=40.0,0.7774,0
0.350,0.375,no event; min S(1)=0.6180 to t=40.0,0.6180,0
0.400,0.375,no event; min S(1)=0.4507 to t=40.0,0.4507,0
0.450,0.375,no event; min S(1)=0.2830 to t=40.0,0.2830,0
0.500,0.375,no event; min S(1)=0.1106 to t=40.0,0.1106,0
0.550,0.375,11.430242,0.0001,0
0.600,0.375,11.448887,0.0001,0
0.650,0.375,11.474333,0.0001,0
0.700,0.375,11.503844,0.0001,0
0.750,0.375,11.536236,0.0001,0
0.800,0.375,11.570808,0.0001,0
0.300,0.500,no event; min S(1)=0.5777 to t=40.0,0.5777,0
0.350,0.500,no event; min S(1)=0.3809 to t=40.0,0.3809,0
0.400,0.500,no event; min S(1)=0.1797 to t=40.0,0.1797,0
0.450,0.500,12.768678,0.0001,0
0.500,0.500,10.771674,0.0001,0
0.550,0.500,10.790276,0.0001,0
0.600,0.500,10.812888,0.0001,0
0.650,0.500,10.838085,0.0001,0
0.700,0.500,10.865092,0.0001,0
0.750,0.500,10.893415,0.0001,0
0.800,0.500,10.922717,0.0001,0
0.300,0.750,no event; min S(1)=0.3940 to t=40.0,0.3940,0
0.350,0.750,no event; min S(1)=0.1768 to t=40.0,0.1768,0
0.400,0.750,10.103368,0.0001,0
0.450,0.750,10.110012,0.0001,0
0.500,0.750,10.121197,0.0001,0
0.550,0.750,10.134746,0.0001,0
0.600,0.750,10.149749,0.0001,0
0.650,0.750,10.165697,0.0001,0
0.700,0.750,10.182272,0.0001,0
0.750,0.750,8.581916,0.0001,0
0.800,0.750,8.572005,0.0001,0
0.300,1.000,no event; min S(1)=0.4647 to t=40.0,0.4647,0
0.350,1.000,no event; min S(1)=0.2446 to t=40.0,0.2446,0
0.400,1.000,no event; min S(1)=0.0213 to t=40.0,0.0213,0
0.450,1.000,10.753123,0.0001,0
0.500,1.000,9.741594,0.0001,0
0.550,1.000,9.746878,0.0001,0
0.600,1.000,9.754027,0.0001,0
0.650,1.000,8.551624,0.0001,0
0.700,1.000,8.546011,0.0001,0
0.750,1.000,8.542033,0.0001,0
0.800,1.000,8.539171,0.0001,0
