We,theta0_deg,worst_hprime_L,at_Cpn,at_beta,L
2,-30,-1.231203e-01,0.50,0.005,1.164208
5,-30,-7.232877e-02,0.50,0.005,1.482805
10,-30,-5.872072e-02,0.50,0.005,1.619086
25,-30,-5.090705e-02,0.50,0.005,1.715270
50,-30,-4.832793e-02,0.50,0.005,1.750709
75,-30,-4.746891e-02,0.50,0.005,1.762973
100,-30,-4.703937e-02,0.50,0.005,1.769196
200,-30,-4.639492e-02,0.50,0.005,1.778649
2,-15,-1.120723e-01,0.50,0.005,1.550606
5,-15,-5.259710e-02,0.50,0.005,2.407351
10,-15,-3.589283e-02,0.50,0.005,2.958042
25,-15,-2.519735e-02,0.50,0.005,3.525971
50,-15,-2.123617e-02,0.50,0.005,3.813830
75,-15,-1.983366e-02,0.50,0.005,3.930254
100,-15,-1.911228e-02,0.50,0.005,3.993606
200,-15,-1.800089e-02,0.50,0.005,4.096270
2,0,-1.051480e-01,0.50,0.005,2.054009
5,0,-4.294977e-02,0.50,0.005,4.156739
10,0,-2.501003e-02,0.50,0.005,6.441220
25,0,-1.266554e-02,0.50,0.005,11.192274
50,0,-7.545110e-03,0.50,0.005,16.990499
75,0,-5.545617e-03,0.50,0.005,21.745102
100,0,-4.446360e-03,0.50,0.005,25.943982
200,0,-2.589927e-03,0.50,0.005,39.915104
2,15,-9.894243e-02,0.50,0.005,2.869785
5,15,-3.779955e-02,0.50,0.005,8.805940
10,15,-2.687750e-02,0.25,0.005,11.211941
25,15,-1.242128e-02,0.25,0.005,32.534163
50,15,-9.957132e-03,0.00,0.005,37.177068
75,15,-7.466417e-03,0.00,0.005,55.522238
100,15,-6.084181e-03,0.00,0.005,74.064739
200,15,-3.706339e-03,0.00,0.005,149.418804
2,30,-9.016093e-02,0.50,0.005,4.956522
5,30,-4.812638e-02,0.25,0.005,10.223926
10,30,-3.621710e-02,0.00,0.005,13.461482
25,30,-1.936522e-02,0.00,0.005,35.123164
50,30,-1.202968e-02,0.00,0.005,73.064024
75,30,-9.072152e-03,0.00,0.005,112.148355
100,30,-7.414949e-03,0.00,0.005,151.877180
200,30,-4.543180e-03,0.00,0.005,314.065163
