a,St,N,t_at_uz_50,min_m,min_S1,max_uz,status,t_end,n_clamped
0.100,0.500,24,none,9.7950e-15,1.2553,6.650e-01,-1,8.119,0
0.100,0.500,32,none,3.0674e-14,1.3550,4.891e-01,-1,8.392,0
0.100,0.500,48,none,8.5087e-14,1.5773,6.027e-01,-1,8.304,0
0.100,0.500,64,none,5.1380e-14,1.5471,6.563e-01,-1,8.253,0
0.100,0.500,96,none,1.4533e-13,1.6802,6.560e-01,-1,8.238,0
0.020,0.500,24,none,3.9227e-01,0.0000,1.702e-01,-1,11.333,3
0.020,0.500,32,none,4.2108e-01,0.0000,1.624e-01,-1,11.310,0
0.020,0.500,48,none,4.2005e-01,0.0000,1.632e-01,-1,11.310,2
0.020,0.500,64,none,4.2060e-01,0.0000,1.629e-01,-1,11.309,4
0.020,0.500,96,none,4.2027e-01,0.0000,1.629e-01,-1,11.309,2
