a,St,N,eps_m,t_event,t_sample,min_m,eta_at_min_m,S1,max_abs_uz,int_max_abs_uz_dt,characteristic_lower_bound,min_m_over_bound,status,n_clamped
0.100,0.500,32,1e-02,8.378212,8.378,1.0186e-02,0.5000,1.3584,0.4891,2.3230,9.7984e-02,1.0395e-01,1,0
0.100,0.500,32,1e-03,8.390192,8.390,1.1198e-03,0.5000,1.3551,0.4891,2.3260,9.7684e-02,1.1464e-02,1,0
0.100,0.500,32,1e-04,8.391674,8.391,5.0316e-04,0.5000,1.3551,0.4891,2.3263,9.7658e-02,5.1523e-03,1,0
0.100,0.500,32,1e-05,8.391828,8.391,5.0316e-04,0.5000,1.3551,0.4891,2.3263,9.7658e-02,5.1523e-03,1,0
0.100,0.500,48,1e-02,8.297976,8.297,1.1830e-02,0.4673,1.7483,0.6028,2.2909,1.0117e-01,1.1693e-01,1,0
0.100,0.500,48,1e-03,8.303061,8.303,1.1025e-03,0.4673,1.7422,0.6028,2.2925,1.0101e-01,1.0915e-02,1,0
0.100,0.500,48,1e-04,8.303600,8.303,1.1025e-03,0.4673,1.7422,0.6028,2.2925,1.0101e-01,1.0915e-02,1,0
0.100,0.500,48,1e-05,8.303654,8.303,1.1025e-03,0.4673,1.7422,0.6028,2.2925,1.0101e-01,1.0915e-02,1,0
0.100,0.500,64,1e-02,8.246086,8.246,1.0139e-02,0.5000,1.5471,0.6568,2.3313,9.7171e-02,1.0434e-01,1,0
0.100,0.500,64,1e-03,8.252472,8.252,1.5731e-03,0.5000,1.5486,0.6568,2.3334,9.6964e-02,1.6223e-02,1,0
0.100,0.500,64,1e-04,8.253240,8.253,3.7720e-04,0.5000,1.5490,0.6568,2.3338,9.6931e-02,3.8914e-03,1,0
0.100,0.500,64,1e-05,8.253319,8.253,3.7720e-04,0.5000,1.5490,0.6568,2.3338,9.6931e-02,3.8914e-03,1,0
0.100,0.500,96,1e-02,8.227559,8.227,1.0618e-02,0.5000,1.7377,0.6580,2.4827,8.3514e-02,1.2713e-01,1,0
0.100,0.500,96,1e-03,8.237593,8.237,2.7620e-03,0.4673,1.7320,0.6580,2.4877,8.3097e-02,3.3238e-02,1,0
0.100,0.500,96,1e-04,8.237903,8.237,2.7620e-03,0.4673,1.7320,0.6580,2.4877,8.3097e-02,3.3238e-02,1,0
0.100,0.500,96,1e-05,8.237934,8.237,2.7620e-03,0.4673,1.7320,0.6580,2.4877,8.3097e-02,3.3238e-02,1,0
