case,Cpn,L_membrane,L_finite_beta,L_ramos1993,ratio_ref_over_membrane
pi/pe=0.5,-0.50,10.27486,9.48589,11.030,1.073
pi/pe=1.0,0.00,12.55585,11.67013,13.388,1.066
"Cpmax=1, r=1.05",0.05,12.87031,11.97305,13.712,1.065
"Cpmax=5, r=1.05",0.25,14.39585,13.44805,15.278,1.061
"Cpmax=10, r=1.05",0.50,17.30420,16.28152,18.239,1.054
beta=0.005,0.50,17.30420,16.99050,17.604,1.017
beta=0.1,0.50,17.30420,15.82924,18.609,1.075
Fr=1000,0.50,13.09480,12.13239,13.930,1.064
Fr=infinity,0.50,13.03854,12.07776,13.872,1.064
We=5,0.50,4.25063,3.94389,4.511,1.061
We=75,0.50,22.13138,20.87351,23.289,1.052
